Sensor Name,Date,Value,Formatted Value,Signal Strength,Voltage
Temperature - 888581,09/14/2022 6:54 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 6:44 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 6:34 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 6:24 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 6:14 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 6:04 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 5:54 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 5:44 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 5:34 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 5:24 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 5:14 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 5:04 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 4:54 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 4:44 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 4:34 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 4:24 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 4:14 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 4:04 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 3:54 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 3:44 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 3:34 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 3:24 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 3:14 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 3:04 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 2:54 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 2:44 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 2:34 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 2:24 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 2:14 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 2:04 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 1:54 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 1:44 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 1:34 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 1:24 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 1:14 AM,23.9,23.9° C,100,2.63
Temperature - 888581,09/14/2022 1:04 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 12:54 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 12:44 AM,23.9,23.9° C,100,2.61
Temperature - 888581,09/14/2022 12:34 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 12:24 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 12:14 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/14/2022 12:04 AM,23.9,23.9° C,100,2.62
Temperature - 888581,09/13/2022 11:54 PM,23.9,23.9° C,100,2.62
Temperature - 888581,09/13/2022 11:44 PM,23.9,23.9° C,100,2.62
Temperature - 888581,09/13/2022 11:34 PM,23.9,23.9° C,100,2.62
Temperature - 888581,09/13/2022 11:24 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 11:14 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 11:04 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 10:54 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 10:44 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 10:34 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 10:24 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 10:14 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 10:04 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 9:54 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 9:44 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 9:34 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 9:24 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 9:14 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 9:04 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 8:54 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 8:44 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 8:34 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 8:24 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 8:14 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 8:04 PM,23.8,23.8° C,100,2.62
Temperature - 888581,09/13/2022 7:54 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 7:44 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 7:34 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 7:24 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 7:14 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 7:04 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 6:54 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 6:44 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 6:34 PM,23.7,23.7° C,100,2.62
Temperature - 888581,09/13/2022 6:24 PM,23.6,23.6° C,100,2.62
Temperature - 888581,09/13/2022 6:14 PM,23.6,23.6° C,100,2.62
Temperature - 888581,09/13/2022 6:04 PM,23.6,23.6° C,100,2.62
Temperature - 888581,09/13/2022 5:54 PM,23.6,23.6° C,100,2.62
Temperature - 888581,09/13/2022 5:44 PM,23.6,23.6° C,100,2.62
Temperature - 888581,09/13/2022 5:34 PM,23.6,23.6° C,100,2.62
Temperature - 888581,09/13/2022 5:24 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 5:14 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 5:04 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 4:54 PM,23.6,23.6° C,100,2.62
Temperature - 888581,09/13/2022 4:44 PM,23.6,23.6° C,100,2.62
Temperature - 888581,09/13/2022 4:34 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 4:24 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 4:14 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 4:04 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 3:54 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 3:44 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 3:34 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 3:24 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 3:14 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 3:04 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 2:54 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 2:44 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 2:34 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 2:24 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 2:14 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 2:04 PM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 1:54 PM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 1:44 PM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 1:34 PM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 1:24 PM,23.2,23.2° C,100,2.62
Temperature - 888581,09/13/2022 1:14 PM,23.2,23.2° C,100,2.62
Temperature - 888581,09/13/2022 1:04 PM,23.2,23.2° C,100,2.62
Temperature - 888581,09/13/2022 12:54 PM,23.2,23.2° C,100,2.62
Temperature - 888581,09/13/2022 12:44 PM,23.2,23.2° C,100,2.6
Temperature - 888581,09/13/2022 12:34 PM,23.1,23.1° C,100,2.62
Temperature - 888581,09/13/2022 12:24 PM,23.1,23.1° C,100,2.61
Temperature - 888581,09/13/2022 12:14 PM,23.1,23.1° C,100,2.62
Temperature - 888581,09/13/2022 12:04 PM,23.1,23.1° C,100,2.61
Temperature - 888581,09/13/2022 11:54 AM,23.1,23.1° C,100,2.61
Temperature - 888581,09/13/2022 11:44 AM,23.1,23.1° C,100,2.61
Temperature - 888581,09/13/2022 11:34 AM,23.1,23.1° C,100,2.61
Temperature - 888581,09/13/2022 11:24 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 11:14 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 11:04 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 10:54 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 10:44 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 10:34 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 10:24 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 10:14 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 10:04 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 9:54 AM,23,23° C,100,2.62
Temperature - 888581,09/13/2022 9:44 AM,23,23° C,100,2.62
Temperature - 888581,09/13/2022 9:34 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 9:24 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 9:14 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 9:04 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 8:54 AM,23,23° C,100,2.61
Temperature - 888581,09/13/2022 8:44 AM,23,23° C,100,2.62
Temperature - 888581,09/13/2022 8:34 AM,23.1,23.1° C,100,2.61
Temperature - 888581,09/13/2022 8:24 AM,23.1,23.1° C,100,2.61
Temperature - 888581,09/13/2022 8:14 AM,23.1,23.1° C,100,2.62
Temperature - 888581,09/13/2022 8:04 AM,23.2,23.2° C,100,2.61
Temperature - 888581,09/13/2022 7:54 AM,23.2,23.2° C,100,2.62
Temperature - 888581,09/13/2022 7:44 AM,23.2,23.2° C,100,2.61
Temperature - 888581,09/13/2022 7:34 AM,23.2,23.2° C,100,2.61
Temperature - 888581,09/13/2022 7:24 AM,23.2,23.2° C,100,2.61
Temperature - 888581,09/13/2022 7:14 AM,23.2,23.2° C,100,2.61
Temperature - 888581,09/13/2022 7:04 AM,23.2,23.2° C,100,2.62
Temperature - 888581,09/13/2022 6:54 AM,23.2,23.2° C,100,2.62
Temperature - 888581,09/13/2022 6:44 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 6:34 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 6:24 AM,23.3,23.3° C,100,2.61
Temperature - 888581,09/13/2022 6:14 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 6:04 AM,23.3,23.3° C,100,2.61
Temperature - 888581,09/13/2022 5:54 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 5:44 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 5:34 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 5:24 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 5:14 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 5:04 AM,23.3,23.3° C,100,2.62
Temperature - 888581,09/13/2022 4:54 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 4:44 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 4:34 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 4:24 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 4:14 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 4:04 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 3:54 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 3:44 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 3:34 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 3:24 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 3:14 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 3:04 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 2:54 AM,23.4,23.4° C,100,2.62
Temperature - 888581,09/13/2022 2:44 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 2:34 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 2:24 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 2:14 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 2:04 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 1:54 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 1:44 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 1:34 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 1:24 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 1:14 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 1:04 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 12:54 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 12:44 AM,23.5,23.5° C,100,2.61
Temperature - 888581,09/13/2022 12:34 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 12:24 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 12:14 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/13/2022 12:04 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 23:54,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 23:44,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 23:34,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 23:24,23.6,23.6° C,100,2.59
Temperature - 888581,09/12/2022 23:14,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 23:04,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 22:54,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 22:44,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 22:34,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 22:24,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 22:14,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 22:04,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 21:54,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 21:44,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 21:34,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 21:24,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 21:14,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 21:04,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 20:54,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 20:44,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 20:34,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 20:24,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 20:14,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 20:04,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 19:54,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 19:44,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 19:34,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 19:24,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 19:14,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 19:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 18:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 18:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 18:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 18:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 18:14,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 18:04,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 17:54,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 17:44,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 17:34,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 17:24,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 17:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 17:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 16:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 16:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 16:34,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 16:24,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 16:14,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 16:04,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 15:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 15:44,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 15:34,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 15:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 15:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 15:04,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 14:54,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 14:44,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 14:34,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 14:24,23.6,23.6° C,100,2.62
Temperature - 888581,09/12/2022 14:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 14:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 13:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 13:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 13:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 13:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 13:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 13:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 12:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 12:44,23.4,23.4° C,100,2.6
Temperature - 888581,09/12/2022 12:34,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 12:24,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 12:14,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 12:04,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 11:54,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 11:44,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 11:34,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 11:24,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 11:14,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 11:04,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 10:54,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 10:44,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 10:34,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 10:24,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 10:14,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 10:04,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 09:54,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 09:44,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 09:34,23.3,23.3° C,100,2.62
Temperature - 888581,09/12/2022 09:24,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 09:14,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 09:04,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 08:54,23.4,23.4° C,100,2.62
Temperature - 888581,09/12/2022 08:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 08:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 08:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 08:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 08:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 07:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 07:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 07:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 07:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 07:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 07:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 06:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 06:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 06:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 06:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 06:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 06:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 05:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 05:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 05:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 05:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 05:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 05:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 04:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 04:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 04:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 04:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 04:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 04:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 03:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 03:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 03:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 03:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 03:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 03:04,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 02:54,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 02:44,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 02:34,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 02:24,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 02:14,23.5,23.5° C,100,2.62
Temperature - 888581,09/12/2022 02:04,23.5,23.5° C,100,2.62
